exercice,source,lignes_brutes,lignes_retenues,lignes_ecartees,etablissements,pages,chiffre_null,motif
2011-2012,Archives\AS481\2011-2012\BD-AS-481-2011-12.csv,3447,3447,0,19,14,0,ok
2012-2013,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv,2875,2875,0,19,6,0,ok
2013-2014,00_brut\AS481\AS-481-2013-14-BD\AS481_BD_2013_2014.csv,3678,3678,0,19,13,0,ok
2014-2015,00_brut\AS481\AS-481-2014-15-BD\AS481_BD_2014_2015.csv,2949,2949,0,19,8,0,ok
2015-2016,00_brut\AS481\AS481_BD_2015_2016\AS481_BD_2015_2016.csv,2954,2954,0,19,7,0,ok
2016-2017,00_brut\AS481\AS481_BD_2016_2017\AS481_BD_2016_2017.csv,3733,3733,0,20,10,0,ok
2017-2018,00_brut\AS481\AS481_BD_2017_2018\AS481_BD_2017_2018.csv,4033,4033,0,20,10,0,ok
2018-2019,Archives\AS481\2018-2019\AS481_BD_2018_2019.csv,4396,4396,0,18,10,0,ok
2019-2020,Archives\AS481\2019-2020\AS481_BD_2019_2020.csv,4259,4259,0,18,8,0,ok
2020-2021,Archives\AS481\2020-2021\AS481_BD_2020_2021.csv,4057,4057,0,18,8,0,ok
2021-2022,Archives\AS481\2021-2022\AS481_BD_2022-09-12.csv,4596,4596,0,18,8,0,ok
2022-2023,Archives\AS481\2022-2023\AS481_BD_2022_2023.csv,4398,4398,0,18,8,0,ok
