exercice,exercice_debut,rapport,rss,etablissement_id,etablissement_nom,page,souspage,ligne,colonne,plc,valeur_saisie,chiffre,code_cellule,source_feuille
2012-2013,2012,AS481,09,11042819,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,03,,12,2,P03L12C02,4.0,4.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,06,11043072,CENTRE DE READAPTATION EN DEPENDANCE DE MONTREAL,03,,12,2,P03L12C02,18.0,18.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,11,11043445,CSSS DE LA HAUTE-GASPESIE,03,,12,2,P03L12C02,2.0,2.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,02,11043833,CSSS DE JONQUIERE,03,,12,2,P03L12C02,6.0,6.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,01,11044104,CSSS DE RIVIERE-DU-LOUP,03,,12,2,P03L12C02,3.0,3.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,14,11044435,CSSS DU NORD DE LANAUDIERE,03,,12,2,P03L12C02,28.0,28.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,12,11044658,CENTRE DE READAPT. EN DEPEND. DE CHAUDIERE-APPALACHES,03,,12,2,P03L12C02,6.0,6.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,04,11044963,CR EN DEPEND. DOMREMY-DE-LA-MAURICIE - CENTRE-DU-QUEBEC,03,,12,2,P03L12C02,12.0,12.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,12291761,CENTRE DE READAPTATION FOSTER,03,,12,2,P03L12C02,17.0,17.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,05,12625653,CENTRE DE READAPTATION EN DEPENDANCE DE L'ESTRIE,03,,12,2,P03L12C02,11.0,11.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,07,14707475,CENTRE DE READAPTATION EN DEPENDANCE DE L'OUTAOUAIS,03,,12,2,P03L12C02,10.0,10.0,P03L12C02,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,23121643,CENTRE DE READAPTATION EN DEPENDANCE LE VIRAGE,03,,12,1,P03L12C01,7.0,7.0,P03L12C01,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,11,11043445,CSSS DE LA HAUTE-GASPESIE,03,,11,6,P03L11C06,29.0,29.0,P03L11C06,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,14,11044435,CSSS DU NORD DE LANAUDIERE,03,,11,5,P03L11C05,26.0,26.0,P03L11C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,12,11044658,CENTRE DE READAPT. EN DEPEND. DE CHAUDIERE-APPALACHES,03,,11,5,P03L11C05,16.0,16.0,P03L11C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,04,11044963,CR EN DEPEND. DOMREMY-DE-LA-MAURICIE - CENTRE-DU-QUEBEC,03,,11,5,P03L11C05,21.0,21.0,P03L11C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
2012-2013,2012,AS481,16,12291761,CENTRE DE READAPTATION FOSTER,03,,11,5,P03L11C05,15.0,15.0,P03L11C05,Archives\AS481\2012-2013\BD-AS-481-2012-13.csv
