exercice,exercice_debut,rapport,sous_formulaire,rss,etablissement_id,etablissement_nom,page,souspage,ligne,colonne,plc,valeur_saisie,chiffre,code_cellule,source_feuille,feuille,col_index,entete,mapping
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,01,,03,01,P01L03C01,0.0,0.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,01,,04,01,P01L04C01,2.0,2.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,01,,05,01,P01L05C01,11.0,11.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,01,,06,01,P01L06C01,0.0,0.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,01,,07,01,P01L07C01,366.0,366.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,01,,08,01,P01L08C01,2.0,2.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,01,,10,01,P01L10C01,0.0,0.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,03,,CENTRE JEUNESSE DE QUEBEC,01,,11,01,P01L11C01,395.0,395.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,01,01,P01L01C01,8.0,8.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,02,01,P01L02C01,3.0,3.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,03,01,P01L03C01,0.0,0.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,04,01,P01L04C01,2.0,2.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,05,01,P01L05C01,0.0,0.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,06,01,P01L06C01,0.0,0.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,07,01,P01L07C01,508.0,508.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,08,01,P01L08C01,4.0,4.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,10,01,P01L10C01,0.0,0.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,04,,LE CENTRE JEUNESSE DE LA MAURICIE ET CENTRE-DU-QUEBEC,01,,11,01,P01L11C01,525.0,525.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,01,01,P01L01C01,0.0,0.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,02,01,P01L02C01,2.0,2.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,03,01,P01L03C01,6.0,6.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,04,01,P01L04C01,0.0,0.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,05,01,P01L05C01,3.0,3.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,06,01,P01L06C01,0.0,0.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,07,01,P01L07C01,210.0,210.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,08,01,P01L08C01,6.0,6.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,10,01,P01L10C01,0.0,0.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,05,,CENTRE JEUNESSE DE L'ESTRIE,01,,11,01,P01L11C01,227.0,227.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,01,01,P01L01C01,0.0,0.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,02,01,P01L02C01,0.0,0.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,03,01,P01L03C01,0.0,0.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,04,01,P01L04C01,0.0,0.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,05,01,P01L05C01,2.0,2.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,06,01,P01L06C01,0.0,0.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,07,01,P01L07C01,0.0,0.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,08,01,P01L08C01,0.0,0.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,10,01,P01L10C01,0.0,0.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,06,,HAVRE-JEUNESSE,01,,11,01,P01L11C01,2.0,2.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,01,01,P01L01C01,2.0,2.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,02,01,P01L02C01,3.0,3.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,03,01,P01L03C01,4.0,4.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,04,01,P01L04C01,0.0,0.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,05,01,P01L05C01,0.0,0.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,06,01,P01L06C01,2.0,2.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,07,01,P01L07C01,220.0,220.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,08,01,P01L08C01,0.0,0.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,09,01,P01L09C01,1.0,1.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,10,01,P01L10C01,1.0,1.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,07,,LES CENTRES JEUNESSE DE L'OUTAOUAIS,01,,11,01,P01L11C01,233.0,233.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,01,01,P01L01C01,6.0,6.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,02,01,P01L02C01,1.0,1.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,03,01,P01L03C01,0.0,0.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,04,01,P01L04C01,0.0,0.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,05,01,P01L05C01,1.0,1.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,06,01,P01L06C01,0.0,0.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,07,01,P01L07C01,223.0,223.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,08,01,P01L08C01,1.0,1.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,10,01,P01L10C01,0.0,0.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,08,,CENTRE JEUNESSE DE L'ABITIBI-TEMISCAMINGUE (C.J.A.T.),01,,11,01,P01L11C01,232.0,232.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,01,01,P01L01C01,5.0,5.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,02,01,P01L02C01,3.0,3.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,03,01,P01L03C01,0.0,0.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,04,01,P01L04C01,0.0,0.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,05,01,P01L05C01,0.0,0.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,06,01,P01L06C01,24.0,24.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,07,01,P01L07C01,77.0,77.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,08,01,P01L08C01,1.0,1.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,10,01,P01L10C01,0.0,0.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,09,,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,01,,11,01,P01L11C01,110.0,110.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,01,01,P01L01C01,2.0,2.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,02,01,P01L02C01,1.0,1.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,03,01,P01L03C01,0.0,0.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,04,01,P01L04C01,1.0,1.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,05,01,P01L05C01,0.0,0.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,06,01,P01L06C01,0.0,0.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,07,01,P01L07C01,122.0,122.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,08,01,P01L08C01,1.0,1.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,10,01,P01L10C01,0.0,0.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,11,,CENTRE JEUNESSE GASPESIE/LES ILES,01,,11,01,P01L11C01,127.0,127.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,01,01,P01L01C01,5.0,5.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,02,01,P01L02C01,1.0,1.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,03,01,P01L03C01,0.0,0.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,04,01,P01L04C01,1.0,1.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,05,01,P01L05C01,6.0,6.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,06,01,P01L06C01,20.0,20.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,07,01,P01L07C01,274.0,274.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,08,01,P01L08C01,4.0,4.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,10,01,P01L10C01,0.0,0.0,P01L10C01,P01C01,P01C01,10,Centre de jour,colonne_fixe
2010-2011,2010,Général,AS480G,12,,CENTRE JEUNESSE CHAUDIERE-APPALACHES,01,,11,01,P01L11C01,311.0,311.0,P01L11C01,P01C01,P01C01,11,Total,colonne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,01,,01,01,P01L01C01,2.0,2.0,P01L01C01,P01C01,P01C01,1,Unité de vie garde ouverte,colonne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,01,,02,01,P01L02C01,5.0,5.0,P01L02C01,P01C01,P01C01,2,Unité de vie garde fermée,colonne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,01,,03,01,P01L03C01,1.0,1.0,P01L03C01,P01C01,P01C01,3,Unité de vie régulière,colonne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,01,,04,01,P01L04C01,2.0,2.0,P01L04C01,P01C01,P01C01,4,Unité de vie santé mentale,colonne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,01,,05,01,P01L05C01,6.0,6.0,P01L05C01,P01C01,P01C01,5,Foyer de groupe,colonne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,01,,06,01,P01L06C01,0.0,0.0,P01L06C01,P01C01,P01C01,6,Autres RNI,colonne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,01,,07,01,P01L07C01,89.0,89.0,P01L07C01,P01C01,P01C01,7,RTF,colonne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,01,,08,01,P01L08C01,3.0,3.0,P01L08C01,P01C01,P01C01,8,RI,colonne_fixe
2010-2011,2010,Général,AS480G,13,,CENTRE JEUNESSE DE LAVAL,01,,09,01,P01L09C01,0.0,0.0,P01L09C01,P01C01,P01C01,9,SAHT,colonne_fixe
