Annee,NomEtablissement,SousPage,Ligne,Colonne,Chiffre
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,1,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,2,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,3,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,4,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,5,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,6,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,7,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,8,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,9,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,1,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,2,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,3,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,4,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,5,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,6,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,7,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,8,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,9,0.0
2013-2014,CPR de la Côte-Nord,0,7,5,1.0
2013-2014,CPR de la Côte-Nord,0,7,9,1.0
2013-2014,CPR de la Côte-Nord,0,8,5,1296.0
2013-2014,CPR de la Côte-Nord,0,9,5,1296.0
2013-2014,CPR de la Côte-Nord,0,10,2,4.0
2013-2014,CPR de la Côte-Nord,0,10,3,5.0
2013-2014,CPR de la Côte-Nord,0,10,4,1.0
2013-2014,CPR de la Côte-Nord,0,10,9,10.0
2013-2014,CPR de la Côte-Nord,0,11,2,235.0
2013-2014,CPR de la Côte-Nord,0,11,3,32.0
2013-2014,CPR de la Côte-Nord,0,11,4,186.0
2013-2014,CPR de la Côte-Nord,0,11,9,128.0
2013-2014,CPR de la Côte-Nord,0,12,2,125.0
2013-2014,CPR de la Côte-Nord,0,12,3,28.0
2013-2014,CPR de la Côte-Nord,0,12,4,186.0
2013-2014,CPR de la Côte-Nord,0,12,9,57.0
2013-2014,CPR de la Côte-Nord,0,13,2,4.0
2013-2014,CPR de la Côte-Nord,0,13,3,5.0
