Annee,NomEtablissement,SousPage,Ligne,Colonne,Chiffre
2011-2012,ATELIER LE FIL D'ARIANE INC.,0,1,1,12114922.0
2011-2012,ATELIER LE FIL D'ARIANE INC.,0,1,4,20.0
2011-2012,ATELIER LE FIL D'ARIANE INC.,0,26,4,20.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,1,51230043.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,4,8.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,1,51231405.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,4,8.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,1,51230050.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,4,15.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,1,51221521.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,4,26.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,5,80.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,1,51230076.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,4,11.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,5,9.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,1,51230084.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,5,9.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,1,51223782.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,5,12.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,1,51231413.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,5,9.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,1,51223790.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,5,9.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,1,51233203.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,5,8.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,1,51233211.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,5,8.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,1,55552194.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,4,8.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,1,51231389.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,4,5.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,14,1,52826203.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,14,4,10.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,1,54547393.0
2011-2012,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,5,22.0
