Annee,NomEtablissement,SousPage,Ligne,Colonne,Chiffre
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,1,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,2,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,3,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,4,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,5,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,6,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,7,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,8,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,4,9,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,1,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,2,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,3,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,4,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,5,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,6,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,7,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,8,0.0
2013-2014,Atelier Le Fil d'Ariane Inc.,0,13,9,0.0
2013-2014,CPR de la Côte-Nord,0,4,6,1.0
2013-2014,CPR de la Côte-Nord,0,4,9,1.0
2013-2014,CPR de la Côte-Nord,0,5,6,13.0
2013-2014,CPR de la Côte-Nord,0,5,9,13.0
2013-2014,CPR de la Côte-Nord,0,6,6,13.0
2013-2014,CPR de la Côte-Nord,0,6,9,13.0
2013-2014,CPR de la Côte-Nord,0,7,2,1.0
2013-2014,CPR de la Côte-Nord,0,7,4,1.0
2013-2014,CPR de la Côte-Nord,0,7,5,6.0
2013-2014,CPR de la Côte-Nord,0,7,6,3.0
2013-2014,CPR de la Côte-Nord,0,7,7,1.0
2013-2014,CPR de la Côte-Nord,0,7,9,12.0
2013-2014,CPR de la Côte-Nord,0,8,2,355.0
2013-2014,CPR de la Côte-Nord,0,8,4,111.0
2013-2014,CPR de la Côte-Nord,0,8,5,608.0
2013-2014,CPR de la Côte-Nord,0,8,6,632.0
2013-2014,CPR de la Côte-Nord,0,8,7,566.0
2013-2014,CPR de la Côte-Nord,0,8,9,548.0
