Annee,NomEtablissement,SousPage,Ligne,Colonne,Chiffre
2018-2019,CISSS de Laval,0,1,3,1.0
2018-2019,CISSS de Laval,0,1,4,1.0
2018-2019,CISSS de Laval,0,1,5,19.0
2018-2019,CISSS de Laval,0,1,6,13.0
2018-2019,CISSS de Laval,0,1,7,2.0
2018-2019,CISSS de Laval,0,1,8,1.0
2018-2019,CISSS de Laval,0,1,9,37.0
2018-2019,CISSS de Laval,0,2,1,1.0
2018-2019,CISSS de Laval,0,2,3,4.0
2018-2019,CISSS de Laval,0,2,4,3.0
2018-2019,CISSS de Laval,0,2,8,1.0
2018-2019,CISSS de Laval,0,2,9,9.0
2018-2019,CISSS de Laval,0,3,1,1.0
2018-2019,CISSS de Laval,0,3,3,5.0
2018-2019,CISSS de Laval,0,3,4,4.0
2018-2019,CISSS de Laval,0,3,5,19.0
2018-2019,CISSS de Laval,0,3,6,13.0
2018-2019,CISSS de Laval,0,3,7,2.0
2018-2019,CISSS de Laval,0,3,8,2.0
2018-2019,CISSS de Laval,0,3,9,46.0
2018-2019,CISSS de Laval,0,4,3,3.0
2018-2019,CISSS de Laval,0,4,9,3.0
2018-2019,CISSS de Laval,0,5,5,1.0
2018-2019,CISSS de Laval,0,5,8,1.0
2018-2019,CISSS de Laval,0,5,9,2.0
2018-2019,CISSS de Laval,0,6,3,3.0
2018-2019,CISSS de Laval,0,6,5,1.0
2018-2019,CISSS de Laval,0,6,8,1.0
2018-2019,CISSS de Laval,0,6,9,5.0
2018-2019,CISSS de Laval,0,7,1,1.0
2018-2019,CISSS de Laval,0,7,3,2.0
2018-2019,CISSS de Laval,0,7,4,4.0
2018-2019,CISSS de Laval,0,7,5,18.0
2018-2019,CISSS de Laval,0,7,6,13.0
2018-2019,CISSS de Laval,0,7,7,2.0
2018-2019,CISSS de Laval,0,7,8,1.0
2018-2019,CISSS de Laval,0,7,9,41.0
2018-2019,CISSS de Laval,0,8,1,1.0
2018-2019,CISSS de Laval,0,8,3,2.0
2018-2019,CISSS de Laval,0,8,4,3.0
2018-2019,CISSS de Laval,0,8,5,10.0
2018-2019,CISSS de Laval,0,8,6,12.0
2018-2019,CISSS de Laval,0,8,7,2.0
2018-2019,CISSS de Laval,0,8,8,1.0
2018-2019,CISSS de Laval,0,8,9,31.0
2018-2019,CISSS de Laval,0,9,4,1.0
2018-2019,CISSS de Laval,0,9,5,8.0
2018-2019,CISSS de Laval,0,9,6,1.0
2018-2019,CISSS de Laval,0,9,9,10.0
2018-2019,CISSS de Laval,0,10,3,1.0
2018-2019,CISSS de Laval,0,10,8,1.0
2018-2019,CISSS de Laval,0,10,9,2.0
2018-2019,CISSS de Laval,0,11,3,1.0
2018-2019,CISSS de Laval,0,11,9,1.0
2018-2019,CISSS de Laval,0,13,3,1.0
2018-2019,CISSS de Laval,0,13,9,1.0
2018-2019,CISSS de Laval,0,15,5,1.0
2018-2019,CISSS de Laval,0,15,9,1.0
2018-2019,CISSS de Laval,0,16,3,3.0
2018-2019,CISSS de Laval,0,16,5,1.0
2018-2019,CISSS de Laval,0,16,8,1.0
2018-2019,CISSS de Laval,0,16,9,5.0
2018-2019,CISSS de Laval,0,19,1,1.0
2018-2019,CISSS de Laval,0,27,1,2.0
2018-2019,CISSS de Laval,0,32,1,3.0
2018-2019,CISSS de Laval,1,1,1,0.0
2018-2019,CISSS de Laval,1,1,2,0.0
2018-2019,CISSS de Laval,1,1,3,1.0
2018-2019,CISSS de Laval,1,1,4,0.0
2018-2019,CISSS de Laval,1,1,5,12.0
2018-2019,CISSS de Laval,1,1,6,11.0
2018-2019,CISSS de Laval,1,1,7,2.0
2018-2019,CISSS de Laval,1,1,8,1.0
2018-2019,CISSS de Laval,1,1,9,27.0
2018-2019,CISSS de Laval,1,2,1,1.0
2018-2019,CISSS de Laval,1,2,2,0.0
2018-2019,CISSS de Laval,1,2,3,0.0
2018-2019,CISSS de Laval,1,2,4,0.0
2018-2019,CISSS de Laval,1,2,5,0.0
2018-2019,CISSS de Laval,1,2,6,0.0
2018-2019,CISSS de Laval,1,2,7,0.0
2018-2019,CISSS de Laval,1,2,8,1.0
2018-2019,CISSS de Laval,1,2,9,2.0
2018-2019,CISSS de Laval,1,3,1,1.0
2018-2019,CISSS de Laval,1,3,2,0.0
2018-2019,CISSS de Laval,1,3,3,1.0
2018-2019,CISSS de Laval,1,3,4,0.0
2018-2019,CISSS de Laval,1,3,5,12.0
2018-2019,CISSS de Laval,1,3,6,11.0
2018-2019,CISSS de Laval,1,3,7,2.0
2018-2019,CISSS de Laval,1,3,8,2.0
2018-2019,CISSS de Laval,1,3,9,29.0
2018-2019,CISSS de Laval,1,4,1,0.0
2018-2019,CISSS de Laval,1,4,2,0.0
2018-2019,CISSS de Laval,1,4,3,1.0
2018-2019,CISSS de Laval,1,4,4,0.0
2018-2019,CISSS de Laval,1,4,5,0.0
2018-2019,CISSS de Laval,1,4,6,0.0
2018-2019,CISSS de Laval,1,4,7,0.0
2018-2019,CISSS de Laval,1,4,8,0.0
2018-2019,CISSS de Laval,1,4,9,1.0
2018-2019,CISSS de Laval,1,5,1,0.0
2018-2019,CISSS de Laval,1,5,2,0.0
2018-2019,CISSS de Laval,1,5,3,0.0
2018-2019,CISSS de Laval,1,5,4,0.0
2018-2019,CISSS de Laval,1,5,5,1.0
2018-2019,CISSS de Laval,1,5,6,0.0
2018-2019,CISSS de Laval,1,5,7,0.0
2018-2019,CISSS de Laval,1,5,8,1.0
2018-2019,CISSS de Laval,1,5,9,2.0
2018-2019,CISSS de Laval,1,6,1,0.0
2018-2019,CISSS de Laval,1,6,2,0.0
2018-2019,CISSS de Laval,1,6,3,1.0
2018-2019,CISSS de Laval,1,6,4,0.0
2018-2019,CISSS de Laval,1,6,5,1.0
2018-2019,CISSS de Laval,1,6,6,0.0
2018-2019,CISSS de Laval,1,6,7,0.0
2018-2019,CISSS de Laval,1,6,8,1.0
2018-2019,CISSS de Laval,1,6,9,3.0
2018-2019,CISSS de Laval,1,7,1,1.0
2018-2019,CISSS de Laval,1,7,2,0.0
2018-2019,CISSS de Laval,1,7,3,0.0
2018-2019,CISSS de Laval,1,7,4,0.0
2018-2019,CISSS de Laval,1,7,5,11.0
2018-2019,CISSS de Laval,1,7,6,11.0
2018-2019,CISSS de Laval,1,7,7,2.0
2018-2019,CISSS de Laval,1,7,8,1.0
2018-2019,CISSS de Laval,1,7,9,26.0
2018-2019,CISSS de Laval,1,8,1,1.0
2018-2019,CISSS de Laval,1,8,2,0.0
2018-2019,CISSS de Laval,1,8,3,0.0
2018-2019,CISSS de Laval,1,8,4,0.0
2018-2019,CISSS de Laval,1,8,5,6.0
2018-2019,CISSS de Laval,1,8,6,10.0
2018-2019,CISSS de Laval,1,8,7,2.0
2018-2019,CISSS de Laval,1,8,8,1.0
2018-2019,CISSS de Laval,1,8,9,20.0
2018-2019,CISSS de Laval,1,9,1,0.0
