Annee,NomEtablissement,Ligne,Colonne,Chiffre
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,5,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,1,3.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,3,4.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,5,7.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,1,8.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,3,4.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,5,12.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,1,20.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,3,13.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,5,33.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,1,11.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,3,2.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,5,13.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,5,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,5,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,1,44.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,3,23.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,5,67.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,1,1,0.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,1,2,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,1,3,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,1,4,0.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,1,5,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,1,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,2,13.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,3,3.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,4,0.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,5,18.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,1,8.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,2,15.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,3,6.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,4,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,5,30.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,4,1,2.0
