Annee,NomEtablissement,Ligne,Colonne,Chiffre
2013-2014,CPR de la Côte-Nord,5,1,17.0
2013-2014,CPR de la Côte-Nord,5,2,28.0
2013-2014,CPR de la Côte-Nord,5,3,23.0
2013-2014,CPR de la Côte-Nord,5,4,6.0
2013-2014,CPR de la Côte-Nord,5,5,9.0
2013-2014,CPR de la Côte-Nord,5,6,4.0
2013-2014,CPR de la Côte-Nord,5,9,87.0
2013-2014,CPR de la Côte-Nord,6,1,31.0
2013-2014,CPR de la Côte-Nord,6,2,68.0
2013-2014,CPR de la Côte-Nord,6,3,59.0
2013-2014,CPR de la Côte-Nord,6,4,21.0
2013-2014,CPR de la Côte-Nord,6,5,98.0
2013-2014,CPR de la Côte-Nord,6,6,115.0
2013-2014,CPR de la Côte-Nord,6,7,14.0
2013-2014,CPR de la Côte-Nord,6,8,1.0
2013-2014,CPR de la Côte-Nord,6,9,407.0
2013-2014,CPR de la Côte-Nord,7,1,25.0
2013-2014,CPR de la Côte-Nord,7,2,58.0
2013-2014,CPR de la Côte-Nord,7,3,45.0
2013-2014,CPR de la Côte-Nord,7,4,11.0
2013-2014,CPR de la Côte-Nord,7,5,53.0
2013-2014,CPR de la Côte-Nord,7,6,56.0
2013-2014,CPR de la Côte-Nord,7,7,4.0
2013-2014,CPR de la Côte-Nord,7,9,252.0
2013-2014,CPR de la Côte-Nord,8,1,6.0
2013-2014,CPR de la Côte-Nord,8,2,10.0
2013-2014,CPR de la Côte-Nord,8,3,14.0
2013-2014,CPR de la Côte-Nord,8,4,10.0
2013-2014,CPR de la Côte-Nord,8,5,45.0
2013-2014,CPR de la Côte-Nord,8,6,59.0
2013-2014,CPR de la Côte-Nord,8,7,10.0
2013-2014,CPR de la Côte-Nord,8,8,1.0
2013-2014,CPR de la Côte-Nord,8,9,155.0
2013-2014,CPR de la Côte-Nord,9,1,1.0
2013-2014,CPR de la Côte-Nord,9,2,12.0
2013-2014,CPR de la Côte-Nord,9,3,14.0
2013-2014,CPR de la Côte-Nord,9,4,4.0
2013-2014,CPR de la Côte-Nord,9,5,11.0
2013-2014,CPR de la Côte-Nord,9,6,3.0
2013-2014,CPR de la Côte-Nord,9,7,1.0
2013-2014,CPR de la Côte-Nord,9,9,46.0
