Annee,NomEtablissement,Ligne,Colonne,Chiffre
2013-2014,CPR de la Côte-Nord,1,1,6.0
2013-2014,CPR de la Côte-Nord,1,2,8.0
2013-2014,CPR de la Côte-Nord,1,3,12.0
2013-2014,CPR de la Côte-Nord,1,4,5.0
2013-2014,CPR de la Côte-Nord,1,5,8.0
2013-2014,CPR de la Côte-Nord,1,6,4.0
2013-2014,CPR de la Côte-Nord,1,9,43.0
2013-2014,CPR de la Côte-Nord,2,1,9.0
2013-2014,CPR de la Côte-Nord,2,2,17.0
2013-2014,CPR de la Côte-Nord,2,3,11.0
2013-2014,CPR de la Côte-Nord,2,4,1.0
2013-2014,CPR de la Côte-Nord,2,5,1.0
2013-2014,CPR de la Côte-Nord,2,9,39.0
2013-2014,CPR de la Côte-Nord,3,1,15.0
2013-2014,CPR de la Côte-Nord,3,2,25.0
2013-2014,CPR de la Côte-Nord,3,3,23.0
2013-2014,CPR de la Côte-Nord,3,4,6.0
2013-2014,CPR de la Côte-Nord,3,5,9.0
2013-2014,CPR de la Côte-Nord,3,6,4.0
2013-2014,CPR de la Côte-Nord,3,9,82.0
2013-2014,CPR de la Côte-Nord,4,1,9.0
2013-2014,CPR de la Côte-Nord,4,2,7.0
2013-2014,CPR de la Côte-Nord,4,3,7.0
2013-2014,CPR de la Côte-Nord,4,4,1.0
2013-2014,CPR de la Côte-Nord,4,5,4.0
2013-2014,CPR de la Côte-Nord,4,6,2.0
2013-2014,CPR de la Côte-Nord,4,9,30.0
2013-2014,CPR de la Côte-Nord,5,1,5.0
2013-2014,CPR de la Côte-Nord,5,2,13.0
2013-2014,CPR de la Côte-Nord,5,3,7.0
2013-2014,CPR de la Côte-Nord,5,5,1.0
2013-2014,CPR de la Côte-Nord,5,9,26.0
2013-2014,CPR de la Côte-Nord,6,1,14.0
2013-2014,CPR de la Côte-Nord,6,2,20.0
2013-2014,CPR de la Côte-Nord,6,3,14.0
2013-2014,CPR de la Côte-Nord,6,4,1.0
2013-2014,CPR de la Côte-Nord,6,5,5.0
2013-2014,CPR de la Côte-Nord,6,6,2.0
2013-2014,CPR de la Côte-Nord,6,9,56.0
2013-2014,CPR de la Côte-Nord,7,2,8.0
2013-2014,CPR de la Côte-Nord,7,3,3.0
2013-2014,CPR de la Côte-Nord,7,4,6.0
2013-2014,CPR de la Côte-Nord,7,5,11.0
2013-2014,CPR de la Côte-Nord,7,6,6.0
2013-2014,CPR de la Côte-Nord,7,7,1.0
2013-2014,CPR de la Côte-Nord,7,9,35.0
2013-2014,CPR de la Côte-Nord,8,1,2.0
2013-2014,CPR de la Côte-Nord,8,2,6.0
