Annee,NomEtablissement,SousPage,Ligne,Colonne,Chiffre
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,1,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,2,4,65.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,2,597.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,3,4,1322.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,1,9.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,2,440.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,3,8.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,4,4,788.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,2,466.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,5,4,831.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,6,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,1,11.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,7,3,11.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,8,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,9,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,2,608.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,10,4,973.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,2,82.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,11,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,3,16.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,12,4,597.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,13,4,371.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,14,1,2.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,14,3,18.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,16,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,16,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,16,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,16,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,17,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,17,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,17,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,17,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,18,1,3.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,18,2,266.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,18,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,18,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,19,1,5.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,19,2,853.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,19,3,2.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,19,4,174.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,20,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,20,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,20,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,20,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,21,1,8.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,21,3,2.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,22,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,22,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,22,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,22,4,2.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,23,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,23,2,70.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,23,3,3.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,23,4,68.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,24,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,24,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,24,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,24,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,25,1,8.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,25,2,394.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,25,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,25,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,26,1,1.0
