Annee,NomEtablissement,Ligne,Colonne,Chiffre
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,2,78.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,4,443.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,13,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,13,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,13,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,13,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,14,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,14,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,15,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,15,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,15,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,15,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,16,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,16,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,16,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,16,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,17,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,17,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,17,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,17,4,289.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,18,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,18,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,18,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,18,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,19,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,19,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,19,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,19,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,20,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,20,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,20,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,20,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,21,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,21,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,22,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,22,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,22,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,22,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,23,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,23,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,23,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,23,4,756.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,24,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,24,2,84.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,24,3,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,24,4,443.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,25,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,25,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,25,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,25,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,26,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,26,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,26,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,26,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,27,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,27,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,27,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,27,4,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,28,1,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,28,3,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,1,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,2,13.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,3,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,4,377.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,4,3,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,4,4,199.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,7,1,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,7,3,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,22,3,2.0
