Annee,NomEtablissement,Ligne,Colonne,Chiffre
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,1,43.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,2,28.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,1,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,1,3.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,2,2,3.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,1,46.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,2,31.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,3,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,4,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,1,6.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,5,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,6,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,7,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,1,6.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,8,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,2,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,9,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,10,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,1,6.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,2,1.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,11,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,1,40.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,2,30.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,12,3,0.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,1,1,49.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,1,2,23.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,1,3,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,2,2,4.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,1,49.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,2,27.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,3,3,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,5,1,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,5,3,1.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,8,1,2.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,8,3,1.0
