Annee,NomEtablissement,Ligne,Colonne,Chiffre
2013-2014,CPR de la Côte-Nord,1,4,1.0
2013-2014,CPR de la Côte-Nord,1,5,5.0
2013-2014,CPR de la Côte-Nord,1,9,6.0
2013-2014,CPR de la Côte-Nord,2,4,29.0
2013-2014,CPR de la Côte-Nord,2,5,635.0
2013-2014,CPR de la Côte-Nord,2,9,534.0
2013-2014,CPR de la Côte-Nord,3,4,29.0
2013-2014,CPR de la Côte-Nord,3,5,893.0
2013-2014,CPR de la Côte-Nord,3,9,643.0
2013-2014,CPR de la Côte-Nord,4,2,3.0
2013-2014,CPR de la Côte-Nord,4,3,5.0
2013-2014,CPR de la Côte-Nord,4,4,1.0
2013-2014,CPR de la Côte-Nord,4,9,9.0
2013-2014,CPR de la Côte-Nord,5,2,330.0
2013-2014,CPR de la Côte-Nord,5,3,37.0
2013-2014,CPR de la Côte-Nord,5,4,193.0
2013-2014,CPR de la Côte-Nord,5,9,152.0
2013-2014,CPR de la Côte-Nord,6,2,197.0
2013-2014,CPR de la Côte-Nord,6,3,32.0
2013-2014,CPR de la Côte-Nord,6,4,193.0
2013-2014,CPR de la Côte-Nord,6,9,76.0
2013-2014,CPR de la Côte-Nord,7,2,3.0
2013-2014,CPR de la Côte-Nord,7,3,5.0
2013-2014,CPR de la Côte-Nord,7,4,2.0
2013-2014,CPR de la Côte-Nord,7,5,5.0
2013-2014,CPR de la Côte-Nord,7,9,15.0
2013-2014,CPR de la Côte-Nord,8,2,330.0
2013-2014,CPR de la Côte-Nord,8,3,37.0
2013-2014,CPR de la Côte-Nord,8,4,111.0
2013-2014,CPR de la Côte-Nord,8,5,635.0
2013-2014,CPR de la Côte-Nord,8,9,305.0
2013-2014,CPR de la Côte-Nord,9,2,197.0
2013-2014,CPR de la Côte-Nord,9,3,32.0
2013-2014,CPR de la Côte-Nord,9,4,111.0
2013-2014,CPR de la Côte-Nord,9,5,893.0
2013-2014,CPR de la Côte-Nord,9,9,151.0
2013-2014,CR Estrie Inc.,1,3,1.0
2013-2014,CR Estrie Inc.,1,4,1.0
2013-2014,CR Estrie Inc.,1,9,2.0
2013-2014,CR Estrie Inc.,2,3,63.0
2013-2014,CR Estrie Inc.,2,4,195.0
2013-2014,CR Estrie Inc.,2,9,129.0
2013-2014,CR Estrie Inc.,3,3,63.0
2013-2014,CR Estrie Inc.,3,4,195.0
2013-2014,CR Estrie Inc.,3,9,129.0
2013-2014,CR Estrie Inc.,7,3,1.0
2013-2014,CR Estrie Inc.,7,4,1.0
2013-2014,CR Estrie Inc.,7,9,2.0
2013-2014,CR Estrie Inc.,8,3,63.0
2013-2014,CR Estrie Inc.,8,4,195.0
2013-2014,CR Estrie Inc.,8,9,129.0
2013-2014,CR Estrie Inc.,9,3,63.0
2013-2014,CR Estrie Inc.,9,4,195.0
2013-2014,CR Estrie Inc.,9,9,129.0
2013-2014,CR La Maison,4,1,3.0
2013-2014,CR La Maison,4,2,1.0
2013-2014,CR La Maison,4,3,2.0
2013-2014,CR La Maison,4,4,0.0
2013-2014,CR La Maison,4,5,0.0
2013-2014,CR La Maison,4,6,0.0
2013-2014,CR La Maison,4,7,0.0
2013-2014,CR La Maison,4,8,0.0
2013-2014,CR La Maison,4,9,6.0
