Annee,NomEtablissement,SousPage,Ligne,Colonne,Chiffre
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,1,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,2,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,3,0.0
2010-2011,CENTRE D'ACCUEIL DIXVILLE INC.,0,15,4,0.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,3,1,55.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,3,2,22.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,3,3,9.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,3,4,68.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,3,5,19299.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,9,1,55.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,9,2,22.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,9,3,9.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,9,4,68.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,9,5,19299.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,9,6,69.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,9,7,10.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,13,1,68.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,13,4,68.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,15,1,68.0
2010-2011,CENTRE DE PROTECTION ET DE READAPTATION DE LA COTE-NORD,0,15,4,68.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,1,1,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,1,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,1,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,1,4,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,1,5,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,2,1,6.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,2,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,2,3,6.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,2,4,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,2,5,480.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,3,1,354.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,3,2,34.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,3,3,24.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,3,4,364.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,3,5,118959.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,4,1,89.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,4,2,8.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,4,3,11.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,4,4,86.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,4,5,24933.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,5,1,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,5,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,5,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,5,4,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,5,5,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,6,1,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,6,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,6,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,6,4,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,6,5,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,7,1,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,7,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,7,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,7,4,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,7,5,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,8,1,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,8,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,8,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,8,4,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,8,5,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,9,1,449.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,9,2,42.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,9,3,41.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,9,4,450.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,9,5,144372.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,9,6,446.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,9,7,109.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,10,1,1.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,10,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,10,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,10,4,1.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,11,1,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,11,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,11,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,11,4,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,12,1,288.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,12,2,63.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,12,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,12,4,351.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,13,1,75.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,13,2,23.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,13,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,13,4,98.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,14,1,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,14,2,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,14,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,14,4,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,15,1,364.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,15,2,86.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,15,3,0.0
2010-2011,CENTRE DE READAPTATION DE L'OUEST DE MONTREAL,0,15,4,450.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,4,1,4.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,4,4,4.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,4,5,1460.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,9,1,4.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,9,4,4.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,9,5,1460.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,9,6,4.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,9,7,1.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,12,2,4.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,12,4,4.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,15,2,4.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,15,4,4.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,1,1,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,1,2,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,1,3,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,1,4,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,1,5,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,2,1,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,2,2,5.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,2,3,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,2,4,5.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,2,5,1168.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,3,1,283.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,3,2,30.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,3,3,29.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,3,4,284.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,3,5,97349.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,4,1,11.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,4,2,8.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,4,3,4.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,4,4,15.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,4,5,4703.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,5,1,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,5,2,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,5,3,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,5,4,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,5,5,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,6,1,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,6,2,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,6,3,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,6,4,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,6,5,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,7,1,12.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,7,2,15.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,7,3,18.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,7,4,9.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,7,5,3303.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,8,1,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,8,2,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,8,3,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,8,4,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,8,5,0.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,9,1,306.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,9,2,58.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,9,3,51.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,9,4,313.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,9,5,106523.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,9,6,337.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,9,7,150.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,12,1,272.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,12,2,11.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,12,3,4.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,12,4,287.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,13,1,8.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,13,2,4.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,13,3,10.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,13,4,22.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,14,1,4.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,14,4,4.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,15,1,284.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,15,2,15.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,15,3,14.0
2010-2011,CENTRE DE READAPTATION LA MYRIADE,0,15,4,313.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,1,462.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,2,34.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,3,24.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,4,472.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,5,168652.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,4,1,109.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,4,2,9.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,4,3,8.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,4,4,110.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,4,5,38057.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,1,571.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,2,43.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,3,32.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,4,582.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,5,206709.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,6,596.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,7,140.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,10,1,9.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,10,4,9.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,12,1,327.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,12,2,65.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,12,4,392.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,13,1,136.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,13,2,45.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,13,4,181.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,15,1,472.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,15,2,110.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,15,4,582.0
2010-2011,CENTRE DU FLORES,0,2,1,8.0
2010-2011,CENTRE DU FLORES,0,2,3,1.0
2010-2011,CENTRE DU FLORES,0,2,4,7.0
2010-2011,CENTRE DU FLORES,0,2,5,2667.0
2010-2011,CENTRE DU FLORES,0,3,1,391.0
2010-2011,CENTRE DU FLORES,0,3,2,46.0
2010-2011,CENTRE DU FLORES,0,3,3,37.0
2010-2011,CENTRE DU FLORES,0,3,4,400.0
2010-2011,CENTRE DU FLORES,0,3,5,137026.0
2010-2011,CENTRE DU FLORES,0,4,1,64.0
2010-2011,CENTRE DU FLORES,0,4,2,17.0
2010-2011,CENTRE DU FLORES,0,4,3,17.0
2010-2011,CENTRE DU FLORES,0,4,4,64.0
2010-2011,CENTRE DU FLORES,0,4,5,22345.0
2010-2011,CENTRE DU FLORES,0,7,1,23.0
2010-2011,CENTRE DU FLORES,0,7,2,108.0
2010-2011,CENTRE DU FLORES,0,7,3,108.0
2010-2011,CENTRE DU FLORES,0,7,4,23.0
2010-2011,CENTRE DU FLORES,0,7,5,97845.0
2010-2011,CENTRE DU FLORES,0,9,1,486.0
2010-2011,CENTRE DU FLORES,0,9,2,171.0
2010-2011,CENTRE DU FLORES,0,9,3,163.0
2010-2011,CENTRE DU FLORES,0,9,4,494.0
2010-2011,CENTRE DU FLORES,0,9,5,259883.0
2010-2011,CENTRE DU FLORES,0,9,6,503.0
2010-2011,CENTRE DU FLORES,0,9,7,141.0
2010-2011,CENTRE DU FLORES,0,10,1,4.0
2010-2011,CENTRE DU FLORES,0,10,3,2.0
2010-2011,CENTRE DU FLORES,0,10,4,6.0
2010-2011,CENTRE DU FLORES,0,12,1,340.0
2010-2011,CENTRE DU FLORES,0,12,2,51.0
2010-2011,CENTRE DU FLORES,0,12,3,6.0
2010-2011,CENTRE DU FLORES,0,12,4,397.0
2010-2011,CENTRE DU FLORES,0,13,1,56.0
2010-2011,CENTRE DU FLORES,0,13,2,13.0
2010-2011,CENTRE DU FLORES,0,13,3,22.0
2010-2011,CENTRE DU FLORES,0,13,4,91.0
2010-2011,CENTRE DU FLORES,0,15,1,400.0
2010-2011,CENTRE DU FLORES,0,15,2,64.0
2010-2011,CENTRE DU FLORES,0,15,3,30.0
2010-2011,CENTRE DU FLORES,0,15,4,494.0
2010-2011,CENTRE MIRIAM,0,1,1,0.0
2010-2011,CENTRE MIRIAM,0,1,2,0.0
2010-2011,CENTRE MIRIAM,0,1,3,0.0
2010-2011,CENTRE MIRIAM,0,1,4,0.0
2010-2011,CENTRE MIRIAM,0,1,5,0.0
2010-2011,CENTRE MIRIAM,0,2,1,0.0
2010-2011,CENTRE MIRIAM,0,2,2,0.0
2010-2011,CENTRE MIRIAM,0,2,3,0.0
2010-2011,CENTRE MIRIAM,0,2,4,0.0
2010-2011,CENTRE MIRIAM,0,2,5,0.0
2010-2011,CENTRE MIRIAM,0,3,1,121.0
2010-2011,CENTRE MIRIAM,0,3,2,22.0
2010-2011,CENTRE MIRIAM,0,3,3,9.0
2010-2011,CENTRE MIRIAM,0,3,4,134.0
2010-2011,CENTRE MIRIAM,0,3,5,43651.0
2010-2011,CENTRE MIRIAM,0,4,1,35.0
2010-2011,CENTRE MIRIAM,0,4,2,2.0
2010-2011,CENTRE MIRIAM,0,4,3,3.0
2010-2011,CENTRE MIRIAM,0,4,4,34.0
2010-2011,CENTRE MIRIAM,0,4,5,11516.0
2010-2011,CENTRE MIRIAM,0,5,1,0.0
2010-2011,CENTRE MIRIAM,0,5,2,0.0
2010-2011,CENTRE MIRIAM,0,5,3,0.0
2010-2011,CENTRE MIRIAM,0,5,4,0.0
2010-2011,CENTRE MIRIAM,0,5,5,0.0
2010-2011,CENTRE MIRIAM,0,6,1,0.0
2010-2011,CENTRE MIRIAM,0,6,2,0.0
2010-2011,CENTRE MIRIAM,0,6,3,0.0
2010-2011,CENTRE MIRIAM,0,6,4,0.0
2010-2011,CENTRE MIRIAM,0,6,5,0.0
2010-2011,CENTRE MIRIAM,0,7,1,0.0
2010-2011,CENTRE MIRIAM,0,7,2,0.0
2010-2011,CENTRE MIRIAM,0,7,3,0.0
2010-2011,CENTRE MIRIAM,0,7,4,0.0
2010-2011,CENTRE MIRIAM,0,7,5,0.0
2010-2011,CENTRE MIRIAM,0,8,1,0.0
2010-2011,CENTRE MIRIAM,0,8,2,0.0
2010-2011,CENTRE MIRIAM,0,8,3,0.0
2010-2011,CENTRE MIRIAM,0,8,4,0.0
2010-2011,CENTRE MIRIAM,0,8,5,0.0
2010-2011,CENTRE MIRIAM,0,9,1,156.0
2010-2011,CENTRE MIRIAM,0,9,2,24.0
2010-2011,CENTRE MIRIAM,0,9,3,12.0
2010-2011,CENTRE MIRIAM,0,9,4,168.0
2010-2011,CENTRE MIRIAM,0,9,5,55167.0
2010-2011,CENTRE MIRIAM,0,9,6,189.0
2010-2011,CENTRE MIRIAM,0,9,7,46.0
2010-2011,CENTRE MIRIAM,0,10,1,0.0
2010-2011,CENTRE MIRIAM,0,10,2,0.0
2010-2011,CENTRE MIRIAM,0,10,3,0.0
2010-2011,CENTRE MIRIAM,0,10,4,0.0
2010-2011,CENTRE MIRIAM,0,11,1,0.0
2010-2011,CENTRE MIRIAM,0,11,2,0.0
2010-2011,CENTRE MIRIAM,0,11,3,0.0
