Annee,NomEtablissement,SousPage,Ligne,Colonne,Chiffre
2010-2011,CENTRE DE READAPTATION LA MAISON,0,10,2,2.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,10,4,1.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,10,5,2.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,10,7,5.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,11,2,101.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,11,4,51.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,11,7,152.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,12,2,103.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,12,4,52.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,12,5,2.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,12,7,157.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,13,2,101.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,13,4,51.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,13,7,152.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,15,2,101.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,15,4,51.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,15,7,152.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,16,2,2.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,16,4,1.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,16,5,2.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,16,7,5.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,17,2,2.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,17,4,1.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,17,7,3.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,18,5,2.0
2010-2011,CENTRE DE READAPTATION LA MAISON,0,18,7,2.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,1,2,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,1,3,6.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,1,4,33.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,1,5,38.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,1,6,3.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,1,7,81.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,2,3,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,2,5,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,2,7,2.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,2,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,3,7.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,4,33.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,5,39.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,6,3.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,3,7,83.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,4,3,2.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,4,5,6.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,4,6,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,4,7,9.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,5,4,2.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,5,5,3.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,5,7,5.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,6,3,2.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,6,4,2.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,6,5,9.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,6,6,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,6,7,14.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,7,2,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,7,3,5.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,7,4,31.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,7,5,30.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,7,6,2.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,7,7,69.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,8,2,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,8,3,4.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,8,4,13.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,8,5,9.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,8,6,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,8,7,28.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,3,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,4,18.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,5,21.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,6,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,9,7,41.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,10,4,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,10,7,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,11,5,3.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,11,7,3.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,12,4,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,12,5,3.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,12,7,4.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,16,4,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,16,5,3.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,16,7,4.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,17,4,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,17,5,2.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,17,7,3.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,18,5,1.0
2010-2011,CENTRE DE READAPTATION LISETTE-DUPRAS,0,18,7,1.0
2010-2011,CENTRE DU FLORES,0,1,2,1.0
2010-2011,CENTRE DU FLORES,0,1,7,1.0
2010-2011,CENTRE DU FLORES,0,3,2,1.0
2010-2011,CENTRE DU FLORES,0,3,7,1.0
2010-2011,CENTRE DU FLORES,0,4,2,1.0
2010-2011,CENTRE DU FLORES,0,4,7,1.0
2010-2011,CENTRE DU FLORES,0,6,2,1.0
2010-2011,CENTRE DU FLORES,0,6,7,1.0
2010-2011,CENTRE DU FLORES,0,7,2,0.0
2010-2011,CENTRE DU FLORES,0,7,7,0.0
2010-2011,CENTRE DU FLORES,0,10,2,1.0
2010-2011,CENTRE DU FLORES,0,10,7,1.0
2010-2011,CENTRE DU FLORES,0,12,2,1.0
2010-2011,CENTRE DU FLORES,0,12,7,1.0
2010-2011,CENTRE DU FLORES,0,13,2,1.0
2010-2011,CENTRE DU FLORES,0,13,7,1.0
2010-2011,CENTRE DU FLORES,0,15,2,1.0
2010-2011,CENTRE DU FLORES,0,15,7,1.0
2010-2011,CENTRE DU FLORES,0,16,2,0.0
2010-2011,CENTRE DU FLORES,0,16,7,0.0
2010-2011,CLAIR FOYER INC.,0,1,2,2.0
2010-2011,CLAIR FOYER INC.,0,1,3,2.0
2010-2011,CLAIR FOYER INC.,0,1,4,13.0
2010-2011,CLAIR FOYER INC.,0,1,5,7.0
2010-2011,CLAIR FOYER INC.,0,1,6,3.0
2010-2011,CLAIR FOYER INC.,0,1,7,27.0
2010-2011,CLAIR FOYER INC.,0,2,2,1.0
2010-2011,CLAIR FOYER INC.,0,2,4,1.0
2010-2011,CLAIR FOYER INC.,0,2,5,2.0
2010-2011,CLAIR FOYER INC.,0,2,7,4.0
