famille,fichier,chemin_relatif,exercice,format,taille_ko,metrique_type,metrique_valeur
AS481,Explication-AS-481-2012-13-Formul.pdf,Archives/AS481/2012-2013/Explication-AS-481-2012-13-Formul.pdf,2012-2013,pdf,70.0,,
AS481,FORMULAIRE-AS-481-2012-13.pdf,Archives/AS481/2012-2013/FORMULAIRE-AS-481-2012-13.pdf,2012-2013,pdf,356.5,,
AS481,AS-481-2013-14-BD.zip,Archives/AS481/2013-2014/AS-481-2013-14-BD.zip,2013-2014,zip,33.1,membres,1
AS481,Explication-AS-481-2013-14-Formul.pdf,Archives/AS481/2013-2014/Explication-AS-481-2013-14-Formul.pdf,2013-2014,pdf,50.7,,
AS481,FORMULAIRE-AS-481-2013-14.pdf,Archives/AS481/2013-2014/FORMULAIRE-AS-481-2013-14.pdf,2013-2014,pdf,1728.3,,
AS481,AS-481-2014-15-BD.zip,Archives/AS481/2014-2015/AS-481-2014-15-BD.zip,2014-2015,zip,27.6,membres,1
AS481,Explication-Formul-AS-481-2014-1.pdf,Archives/AS481/2014-2015/Explication-Formul-AS-481-2014-1.pdf,2014-2015,pdf,78.2,,
AS481,FORMULAIRE-AS-481-2014-15.pdf,Archives/AS481/2014-2015/FORMULAIRE-AS-481-2014-15.pdf,2014-2015,pdf,86.4,,
AS481,AS-481_2015-2016_11044104.pdf,Archives/AS481/2015-2016/AS-481_2015-2016_11044104.pdf,2015-2016,pdf,144.9,,
AS481,AS481_BD_2015_2016.zip,Archives/AS481/2015-2016/AS481_BD_2015_2016.zip,2015-2016,zip,28.1,membres,1
AS481,AS-481_2016-2017_11044104.pdf,Archives/AS481/2016-2017/AS-481_2016-2017_11044104.pdf,2016-2017,pdf,237.6,,
AS481,AS481_BD_2016_2017.zip,Archives/AS481/2016-2017/AS481_BD_2016_2017.zip,2016-2017,zip,31.3,membres,1
AS481,AS-481_2017-2018_11044104.pdf,Archives/AS481/2017-2018/AS-481_2017-2018_11044104.pdf,2017-2018,pdf,891.4,,
AS481,AS481_BD_2017_2018.zip,Archives/AS481/2017-2018/AS481_BD_2017_2018.zip,2017-2018,zip,34.2,membres,1
AS481,AS-481-2018-2019-11045119.pdf,Archives/AS481/2018-2019/AS-481-2018-2019-11045119.pdf,2018-2019,pdf,80.2,,
AS481,AS481_BD_2018_2019.csv,Archives/AS481/2018-2019/AS481_BD_2018_2019.csv,2018-2019,csv,730.4,lignes,4396
AS481,AS-481-2019-2020-11045119.pdf,Archives/AS481/2019-2020/AS-481-2019-2020-11045119.pdf,2019-2020,pdf,73.6,,
AS481,AS481_BD_2019_2020.csv,Archives/AS481/2019-2020/AS481_BD_2019_2020.csv,2019-2020,csv,550.2,lignes,4259
AS481,AS-481-2020-2021-11045119.pdf,Archives/AS481/2020-2021/AS-481-2020-2021-11045119.pdf,2020-2021,pdf,725.4,,
AS481,AS481_BD_2020_2021.csv,Archives/AS481/2020-2021/AS481_BD_2020_2021.csv,2020-2021,csv,520.3,lignes,4057
AS481,AS-481_2021-2022_01_11045119.pdf,Archives/AS481/2021-2022/AS-481_2021-2022_01_11045119.pdf,2021-2022,pdf,730.8,,
AS481,AS481_BD_2022-09-12.csv,Archives/AS481/2021-2022/AS481_BD_2022-09-12.csv,2021-2022,csv,596.6,lignes,4596
AS481,AS-481_2022-2023_01_11045119.pdf,Archives/AS481/2022-2023/AS-481_2022-2023_01_11045119.pdf,2022-2023,pdf,1318.5,,
AS481,AS481_BD_2022_2023.csv,Archives/AS481/2022-2023/AS481_BD_2022_2023.csv,2022-2023,csv,575.3,lignes,4398
AS484,AS-484-2010-11-BD.zip,Archives/AS484/2010-2011/AS-484-2010-11-BD.zip,2010-2011,zip,169.3,membres,1
AS484,AS-484-2010-11-EXPLICATIONS.pdf,Archives/AS484/2010-2011/AS-484-2010-11-EXPLICATIONS.pdf,2010-2011,pdf,132.3,,
